COUNTRY,AWARE,BOR_CLOSE,PRISON,ADMIN,HEALTH,INTERNAT,POLICIES,IMP_EXP,PUB_GATHER,PUBHEALTH,SCHOOL,EMERGENCY,HEALTHSYS,MONITOR,BUS_CLOSE,CURFEWS,DOMESTIC,ECO_MEAS,MIL_DEP,PLOCK,PROTGEAR,MASSTEST,TEST,FUNERAL,FLOCK,GENERAL,VISA,PSYCH,DOCS,BOR_CHECK,RLOCK,CHECK,HUMAN,CBOR_CLOSE,stable_start_date,stable_mean_mobility,adjusted_stable_start_date,lost_mean_mobility,decline_start,slope
France,20/05/2020,18/03/2020,,13/02/2020,16/03/2020,,17/03/2020,21/04/2020,29/02/2020,17/04/2020,16/03/2020,24/03/2020,24/03/2020,06/04/2020,16/03/2020,,08/04/2020,12/03/2020,16/03/2020,17/03/2020,,,,20/03/2020,,18/03/2020,24/04/2020,,,,29/03/2020,,,,15/03/2020,20.21047619,18/03/2020,79.78952381,11MAR2020,-10.73904762
Germany,06/02/2020,15/04/2020,19/03/2020,23/04/2020,,,09/04/2020,04/03/2020,10/03/2020,15/04/2020,16/03/2020,16/03/2020,11/03/2020,07/04/2020,16/03/2020,,,10/03/2020,03/04/2020,21/03/2020,22/04/2020,,27/05/2020,02/05/2020,,30/03/2020,09/04/2020,,,10/03/2020,,,,,16/03/2020,45.053809524,20/03/2020,54.946190476,07MAR2020,-6.601538462
Greece,09/03/2020,21/03/2020,,,,,16/03/2020,,13/03/2020,,11/03/2020,,13/03/2020,,18/03/2020,23/03/2020,12/04/2020,13/03/2020,,23/03/2020,04/05/2020,,09/06/2020,,,,,,,,,,,,14/03/2020,28.938571429,19/03/2020,71.061428571,05MAR2020,-5.603571429
Hungary,03/02/2020,17/03/2020,,04/02/2020,05/02/2020,,20/03/2020,,11/03/2020,06/04/2020,14/03/2020,11/03/2020,05/03/2020,17/03/2020,17/03/2020,,,23/03/2020,,28/03/2020,22/04/2020,03/03/2020,27/04/2020,,,21/03/2020,12/03/2020,,,,,,,,16/03/2020,38.580714286,21/03/2020,61.419285714,06MAR2020,-7.362
Iceland,06/04/2020,20/03/2020,,20/04/2020,,,19/03/2020,,16/03/2020,24/04/2020,,06/03/2020,23/03/2020,01/04/2020,,,,21/03/2020,,,,13/03/2020,15/06/2020,,,24/02/2020,,15/04/2020,15/06/2020,24/04/2020,,,,,18/03/2020,41.250714286,21/03/2020,58.749285714,13MAR2020,-8.770625
India,04/04/2020,15/03/2020,,14/03/2020,25/01/2020,22/03/2020,26/02/2020,,05/03/2020,16/04/2020,,,25/01/2020,21/04/2020,04/05/2020,,03/05/2020,24/03/2020,17/04/2020,16/03/2020,,,,,24/03/2020,10/03/2020,13/03/2020,,,11/03/2020,,,,,21/03/2020,27.353214286,25/03/2020,72.646785714,11MAR2020,-5.334642857
Indonesia,04/05/2020,31/03/2020,,,,30/04/2020,02/02/2020,,27/04/2020,,,,30/03/2020,20/03/2020,,,23/04/2020,06/05/2020,,31/03/2020,,,16/03/2020,,,26/01/2020,20/03/2020,,20/03/2020,,,,,,18/03/2020,43.664642857,23/03/2020,56.335357143,13MAR2020,-6.534
Ireland,,24/03/2020,,28/03/2020,,,08/06/2020,,12/03/2020,,13/03/2020,,24/03/2020,08/04/2020,16/03/2020,,28/03/2020,24/03/2020,,28/03/2020,,,17/04/2020,18/05/2020,,12/03/2020,28/03/2020,,,,,,28/03/2020,,16/03/2020,36.350714286,21/03/2020,63.649285714,06MAR2020,-7.612222222
Israel,11/02/2020,,13/04/2020,27/01/2020,,,17/02/2020,,15/03/2020,10/05/2020,15/03/2020,05/05/2020,04/02/2020,22/04/2020,07/04/2020,,07/04/2020,25/03/2020,,17/03/2020,19/04/2020,,03/06/2020,,25/03/2020,24/01/2020,,,,05/03/2020,,,,,13/03/2020,40.130357143,17/03/2020,59.869642857,09MAR2020,-10.415
Italy,27/01/2020,09/03/2020,,22/01/2020,23/01/2020,13/03/2020,04/05/2020,13/03/2020,09/03/2020,07/04/2020,14/04/2020,,14/03/2020,10/04/2020,25/02/2020,,23/03/2020,17/03/2020,20/03/2020,08/03/2020,26/04/2020,06/03/2020,03/04/2020,,23/03/2020,28/03/2020,,27/03/2020,10/03/2020,28/03/2020,,23/03/2020,,,09/03/2020,18.994047619,12/03/2020,81.005952381,04MAR2020,-6.822916667
Japan,,25/05/2020,,20/04/2020,13/03/2020,,03/04/2020,,20/02/2020,,20/03/2020,16/04/2020,28/01/2020,08/05/2020,,,,,,08/05/2020,08/05/2020,,13/05/2020,,,14/02/2020,08/05/2020,,,,,,,,08/04/2020,66.383095238,11/04/2020,33.616904762,20MAR2020,-3.946969697
Latvia,24/03/2020,17/03/2020,14/03/2020,,,17/03/2020,,,14/03/2020,23/04/2020,30/04/2020,14/03/2020,31/01/2020,29/03/2020,12/05/2020,,,19/03/2020,,,,,08/04/2020,,,13/03/2020,14/03/2020,15/04/2020,,,,,,,08/04/2020,56.8375,18/03/2020,43.1625,06MAR2020,-7.633333333
Lithuania,17/04/2020,16/03/2020,16/03/2020,08/04/2020,02/04/2020,04/04/2020,16/03/2020,02/04/2020,16/03/2020,,16/03/2020,,12/03/2020,07/04/2020,16/03/2020,,16/03/2020,16/03/2020,,27/05/2020,08/04/2020,,27/03/2020,,,16/03/2020,,25/03/2020,,27/01/2020,,30/04/2020,,,06/04/2020,51.635714286,18/03/2020,48.364285714,06MAR2020,-7.71625
Luxembourg,29/02/2020,,,11/03/2020,,,13/03/2020,,13/03/2020,15/04/2020,16/03/2020,18/03/2020,13/03/2020,,16/03/2020,,,17/03/2020,17/04/2020,16/03/2020,,,,25/03/2020,,01/04/2020,,01/04/2020,,,,,,,15/03/2020,30.144761905,18/03/2020,69.855238095,09MAR2020,-7.054814815
Malaysia,22/03/2020,28/05/2020,,,11/03/2020,,13/05/2020,,11/03/2020,22/04/2020,,,25/03/2020,17/03/2020,21/05/2020,25/03/2020,18/03/2020,20/02/2020,,18/03/2020,,14/05/2020,22/04/2020,,,,08/03/2020,,22/05/2020,,,,,,18/03/2020,31.995,21/03/2020,68.005,13MAR2020,-10.816875
Mexico,23/03/2020,21/03/2020,,21/04/2020,,24/03/2020,20/04/2020,,14/03/2020,,20/03/2020,30/03/2020,24/03/2020,,19/03/2020,20/04/2020,20/04/2020,06/05/2020,13/04/2020,30/04/2020,16/04/2020,,,,,23/03/2020,,,,,,04/05/2020,,,19/03/2020,41.60047619,24/03/2020,58.39952381,13MAR2020,-7.597878788
Morocco,04/02/2020,14/03/2020,26/03/2020,12/03/2020,25/01/2020,15/03/2020,,12/03/2020,01/03/2020,17/04/2020,13/03/2020,20/03/2020,25/01/2020,25/01/2020,,23/04/2020,21/03/2020,12/03/2020,,20/03/2020,16/03/2020,,,,,29/01/2020,,,,,,,,,16/03/2020,22.056785714,21/03/2020,77.943214286,07MAR2020,-9.452142857
